iter kd skd kf skf gamma sgamma sigma_error1 sigma_error2 sigma_error3 sigma_error4 L
2.100000000000000000e+01 3.847886207241950829e-04 3.126357044534234554e-05 3.482146625572757369e-05 2.615925400751145471e-06 5.807280535343504557e-05 3.642775447672966896e-06 6.196479011579992147e+00 6.242299816029531989e+00 5.946225460538500762e+00 5.017062918309109776e+00 -1.723706402958902800e+03
2.200000000000000000e+01 4.056988773085350272e-04 3.076746314065307203e-05 3.546338060274670923e-05 2.715165884837454042e-06 5.766861606622268501e-05 3.618992475797785089e-06 6.350883705477706975e+00 6.383825927575801806e+00 5.885135393363739809e+00 5.307715550477736244e+00 -1.712385906463631954e+03
2.300000000000000000e+01 4.065915555845049266e-04 3.172391493019204798e-05 3.994684911472557370e-05 2.666808222634538637e-06 5.612555976232667568e-05 3.550752629260127162e-06 6.575414997169274578e+00 6.208793625246201486e+00 5.941412709293098615e+00 5.423210971129397429e+00 -1.712355705223691757e+03
2.400000000000000000e+01 4.006452331576532697e-04 3.297778875701886617e-05 3.682897198511122009e-05 2.636907547291932937e-06 5.481047203291331156e-05 3.389507015314696079e-06 6.901748320938430048e+00 6.503328395010058216e+00 6.153473503939522971e+00 5.615513063968056606e+00 -1.712218770654344553e+03
2.500000000000000000e+01 4.061089233993573256e-04 3.257685248758450597e-05 3.752513108642545743e-05 2.635991823960125746e-06 5.443216919496443194e-05 3.131964542255450480e-06 6.630024304112486888e+00 6.983504376172342987e+00 6.076306785544295153e+00 5.848083749070355886e+00 -1.713966363309271628e+03
2.600000000000000000e+01 3.985128064191404578e-04 3.245284451498227178e-05 3.860802702218539296e-05 2.605679474375484380e-06 5.500214962980512105e-05 3.153369156355278317e-06 6.713517433659680123e+00 6.807950688862977273e+00 6.870252849463386546e+00 5.915315767477498099e+00 -1.711136535951001633e+03
2.700000000000000000e+01 3.951566118712692777e-04 3.120517001671549922e-05 3.752012669935274401e-05 2.625651482103593068e-06 5.434560592061375467e-05 2.940559424045334093e-06 6.813592495074366262e+00 6.961540951829221946e+00 6.606261945629029242e+00 6.209758855130768751e+00 -1.710869291479941921e+03
2.800000000000000000e+01 3.782444520978076150e-04 3.206689145571376629e-05 3.705767097684271210e-05 2.764911433411240700e-06 5.681979285538006982e-05 2.817696819122406995e-06 6.618216835812096299e+00 6.886986653147105564e+00 6.679650095087955819e+00 6.473901731907902857e+00 -1.704762314182848741e+03
2.900000000000000000e+01 3.699207139113417546e-04 3.054283620023252416e-05 4.081932348614804155e-05 2.898119311389476869e-06 5.902304128590256046e-05 2.773122233022911652e-06 6.742996889692058460e+00 6.932140050443536872e+00 6.425468423232572057e+00 6.424677378855046861e+00 -1.704703053368477185e+03
3.000000000000000000e+01 3.603870297822184569e-04 3.131061371184439528e-05 3.968284101129247157e-05 2.744358999974875167e-06 5.811364305158449930e-05 2.963910582167626724e-06 6.573632382495352644e+00 6.969788647939320292e+00 6.493869368912727147e+00 6.788178699131811378e+00 -1.703930488071428499e+03
3.100000000000000000e+01 3.578961488968811699e-04 3.030700148918960695e-05 4.180769571477042207e-05 2.749114120051520403e-06 6.133556479733203977e-05 3.262909959397439237e-06 6.934153548993204907e+00 7.568532100812599417e+00 6.640518257957350734e+00 6.412931146638401358e+00 -1.703990889343125673e+03
3.200000000000000000e+01 3.334072201827763910e-04 2.986493456190977060e-05 4.047387272232772431e-05 2.654069192652966028e-06 5.894495218195960516e-05 3.403237943552951978e-06 6.716980479991590869e+00 8.719426099308810407e+00 6.761947472500021483e+00 6.909681866791367533e+00 -1.704659507426539221e+03
3.300000000000000000e+01 3.212953011786956773e-04 3.063208737003409382e-05 4.316036387408944940e-05 2.567490423739732583e-06 5.939289462022941519e-05 3.391902685387855094e-06 6.803923794505775113e+00 8.647750815807160762e+00 6.658095262709077033e+00 7.099821552285512816e+00 -1.705581956272583966e+03
3.400000000000000000e+01 3.287718220175556410e-04 3.051883400384422474e-05 4.339025954918236108e-05 2.491080719070032476e-06 6.387824845291464166e-05 3.194315053675463810e-06 6.489048803239227503e+00 8.630449153464160972e+00 6.808359376256647444e+00 7.692276518210312553e+00 -1.706511943357903647e+03
3.500000000000000000e+01 3.167800133622740823e-04 3.076918341711088888e-05 3.874638548784047873e-05 2.522292082624052633e-06 5.814025187445158227e-05 3.384828049094586659e-06 6.792225682075127224e+00 8.083885120743056873e+00 6.995142086609997811e+00 7.372195401394327163e+00 -1.704259226973053501e+03
3.600000000000000000e+01 3.002115661895273261e-04 3.006874996764628474e-05 3.962741699279323965e-05 2.568325209822048765e-06 5.984418166214061695e-05 3.393593210038294082e-06 6.384209611440625487e+00 7.788679516498043576e+00 7.589368502740165390e+00 6.946409661297641591e+00 -1.703031931152702782e+03
3.700000000000000000e+01 2.900573835379410760e-04 3.117095463985101030e-05 4.431245496098975184e-05 2.381811089641147717e-06 6.195886345570953909e-05 3.163329792835739381e-06 6.192487337354768862e+00 7.612597708480808301e+00 7.430601551949652439e+00 6.572305125986339647e+00 -1.702781030338947630e+03
3.800000000000000000e+01 2.760195125738854776e-04 3.114966060773612588e-05 4.255365171421246685e-05 2.280276890961155631e-06 6.165819895806688440e-05 3.083539214559167050e-06 6.427074906168194879e+00 8.171509146456589434e+00 7.657978120593558202e+00 6.552734562969884102e+00 -1.704787264688487312e+03
3.900000000000000000e+01 3.134913669332356381e-04 3.155494740685173765e-05 4.393507094000496081e-05 2.196550102849410051e-06 6.524680948506241418e-05 3.191600519521633324e-06 6.378996855495859819e+00 7.737749752596476682e+00 7.083395832238670309e+00 6.530090479811318183e+00 -1.704707028860656919e+03
