,replicate,t,x
98,0,32941.17647058824,193.0
99,0,33277.31092436975,189.0
100,0,33613.445378151264,209.0
101,0,33949.57983193277,193.0
102,0,34285.71428571428,198.0
103,0,34621.8487394958,190.0
104,0,34957.98319327731,190.0
105,0,35294.117647058825,181.0
106,0,35630.252100840335,178.0
107,0,35966.38655462185,181.0
108,0,36302.52100840336,171.0
109,0,36638.65546218488,186.0
110,0,36974.78991596639,185.0
111,0,37310.924369747896,194.0
112,0,37647.05882352941,179.0
113,0,37983.19327731092,185.0
114,0,38319.32773109244,170.0
115,0,38655.46218487395,185.0
116,0,38991.596638655465,179.0
117,0,39327.731092436974,169.0
118,0,39663.86554621849,166.0
119,0,40000.0,157.0
0,1,0.0,415.0
1,1,336.1344537815126,413.0
2,1,672.2689075630252,402.0
3,1,1008.4033613445379,418.0
4,1,1344.5378151260504,400.0
5,1,1680.672268907563,409.0
6,1,2016.8067226890757,401.0
7,1,2352.9411764705883,397.0
8,1,2689.075630252101,380.0
9,1,3025.2100840336134,373.0
10,1,3361.344537815126,379.0
11,1,3697.4789915966385,380.0
12,1,4033.6134453781515,359.0
13,1,4369.747899159664,382.0
14,1,4705.882352941177,351.0
15,1,5042.016806722689,362.0
16,1,5378.151260504202,340.0
17,1,5714.285714285715,345.0
18,1,6050.420168067227,322.0
19,1,6386.55462184874,321.0
20,1,6722.689075630252,333.0
21,1,7058.823529411765,343.0
22,1,7394.957983193277,349.0
23,1,7731.09243697479,336.0
24,1,8067.226890756303,340.0
25,1,8403.361344537816,341.0
26,1,8739.495798319327,328.0
27,1,9075.63025210084,331.0
28,1,9411.764705882353,326.0
29,1,9747.899159663866,313.0
30,1,10084.033613445377,300.0
31,1,10420.16806722689,298.0
32,1,10756.302521008403,296.0
33,1,11092.436974789916,309.0
34,1,11428.57142857143,299.0
35,1,11764.70588235294,304.0
36,1,12100.840336134454,289.0
37,1,12436.974789915967,296.0
38,1,12773.10924369748,274.0
39,1,13109.24369747899,279.0
40,1,13445.378151260504,267.0
41,1,13781.512605042017,272.0
42,1,14117.64705882353,263.0
43,1,14453.781512605043,260.0
44,1,14789.915966386554,249.0
45,1,15126.050420168067,252.0
46,1,15462.18487394958,256.0
47,1,15798.319327731093,247.0
48,1,16134.453781512606,244.0
49,1,16470.58823529412,243.0
50,1,16806.722689075632,243.0
51,1,17142.85714285714,261.0
52,1,17478.991596638654,250.0
53,1,17815.126050420167,243.0
54,1,18151.26050420168,247.0
55,1,18487.394957983193,233.0
56,1,18823.529411764706,237.0
57,1,19159.66386554622,227.0
58,1,19495.798319327732,227.0
59,1,19831.932773109245,242.0
60,1,20168.067226890755,236.0
61,1,20504.201680672268,233.0
62,1,20840.33613445378,240.0
63,1,21176.470588235294,252.0
64,1,21512.605042016807,247.0
65,1,21848.73949579832,223.0
66,1,22184.873949579833,214.0
67,1,22521.008403361346,241.0
68,1,22857.14285714286,209.0
69,1,23193.277310924368,228.0
70,1,23529.41176470588,234.0
71,1,23865.546218487394,227.0
72,1,24201.680672268907,230.0
73,1,24537.81512605042,226.0
74,1,24873.949579831933,213.0
75,1,25210.084033613446,230.0
76,1,25546.21848739496,218.0
77,1,25882.352941176472,217.0
78,1,26218.48739495798,211.0
79,1,26554.621848739494,217.0
80,1,26890.756302521007,204.0
81,1,27226.89075630252,220.0
82,1,27563.025210084033,221.0
83,1,27899.159663865546,206.0
84,1,28235.29411764706,200.0
85,1,28571.428571428572,193.0
86,1,28907.563025210085,213.0
87,1,29243.697478991595,187.0
88,1,29579.831932773108,194.0
89,1,29915.96638655462,186.0
90,1,30252.100840336134,201.0
91,1,30588.235294117647,207.0
92,1,30924.36974789916,194.0
93,1,31260.504201680673,191.0
94,1,31596.638655462186,198.0
95,1,31932.7731092437,205.0
96,1,32268.907563025212,200.0
97,1,32605.04201680672,191.0
98,1,32941.17647058824,190.0
99,1,33277.31092436975,205.0
100,1,33613.445378151264,198.0
101,1,33949.57983193277,180.0
102,1,34285.71428571428,184.0
103,1,34621.8487394958,186.0
104,1,34957.98319327731,195.0
105,1,35294.117647058825,192.0
106,1,35630.252100840335,189.0
107,1,35966.38655462185,198.0
108,1,36302.52100840336,188.0
109,1,36638.65546218488,190.0
110,1,36974.78991596639,182.0
111,1,37310.924369747896,186.0
112,1,37647.05882352941,179.0
113,1,37983.19327731092,181.0
114,1,38319.32773109244,181.0
115,1,38655.46218487395,172.0
116,1,38991.596638655465,163.0
117,1,39327.731092436974,166.0
118,1,39663.86554621849,165.0
119,1,40000.0,165.0
0,2,0.0,398.0
1,2,336.1344537815126,405.0
2,2,672.2689075630252,395.0
3,2,1008.4033613445379,397.0
4,2,1344.5378151260504,396.0
5,2,1680.672268907563,399.0
6,2,2016.8067226890757,405.0
7,2,2352.9411764705883,407.0
8,2,2689.075630252101,390.0
9,2,3025.2100840336134,396.0
10,2,3361.344537815126,405.0
11,2,3697.4789915966385,389.0
12,2,4033.6134453781515,395.0
13,2,4369.747899159664,389.0
14,2,4705.882352941177,380.0
15,2,5042.016806722689,381.0
16,2,5378.151260504202,388.0
17,2,5714.285714285715,374.0
18,2,6050.420168067227,388.0
19,2,6386.55462184874,383.0
20,2,6722.689075630252,398.0
21,2,7058.823529411765,384.0
22,2,7394.957983193277,381.0
23,2,7731.09243697479,394.0
24,2,8067.226890756303,395.0
25,2,8403.361344537816,392.0
26,2,8739.495798319327,378.0
27,2,9075.63025210084,375.0
28,2,9411.764705882353,376.0
29,2,9747.899159663866,375.0
30,2,10084.033613445377,378.0
31,2,10420.16806722689,372.0
32,2,10756.302521008403,377.0
33,2,11092.436974789916,368.0
34,2,11428.57142857143,372.0
35,2,11764.70588235294,373.0
36,2,12100.840336134454,365.0
37,2,12436.974789915967,369.0
38,2,12773.10924369748,350.0
39,2,13109.24369747899,364.0
40,2,13445.378151260504,358.0
41,2,13781.512605042017,371.0
42,2,14117.64705882353,365.0
43,2,14453.781512605043,371.0
44,2,14789.915966386554,347.0
45,2,15126.050420168067,352.0
46,2,15462.18487394958,350.0
47,2,15798.319327731093,367.0
