,replicate,t,x
9,3,3025.2100840336134,438.0
10,3,3361.344537815126,441.0
11,3,3697.4789915966385,432.0
12,3,4033.6134453781515,449.0
13,3,4369.747899159664,448.0
14,3,4705.882352941177,444.0
15,3,5042.016806722689,444.0
16,3,5378.151260504202,449.0
17,3,5714.285714285715,449.0
18,3,6050.420168067227,440.0
19,3,6386.55462184874,462.0
20,3,6722.689075630252,452.0
21,3,7058.823529411765,465.0
22,3,7394.957983193277,468.0
23,3,7731.09243697479,460.0
24,3,8067.226890756303,456.0
25,3,8403.361344537816,450.0
26,3,8739.495798319327,468.0
27,3,9075.63025210084,472.0
28,3,9411.764705882353,463.0
29,3,9747.899159663866,470.0
30,3,10084.033613445377,468.0
31,3,10420.16806722689,456.0
32,3,10756.302521008403,476.0
33,3,11092.436974789916,461.0
34,3,11428.57142857143,474.0
35,3,11764.70588235294,483.0
36,3,12100.840336134454,465.0
37,3,12436.974789915967,476.0
38,3,12773.10924369748,477.0
39,3,13109.24369747899,478.0
40,3,13445.378151260504,479.0
41,3,13781.512605042017,457.0
42,3,14117.64705882353,485.0
43,3,14453.781512605043,479.0
44,3,14789.915966386554,465.0
45,3,15126.050420168067,474.0
46,3,15462.18487394958,486.0
47,3,15798.319327731093,495.0
48,3,16134.453781512606,492.0
49,3,16470.58823529412,496.0
50,3,16806.722689075632,489.0
51,3,17142.85714285714,495.0
52,3,17478.991596638654,501.0
53,3,17815.126050420167,485.0
54,3,18151.26050420168,496.0
55,3,18487.394957983193,501.0
56,3,18823.529411764706,501.0
57,3,19159.66386554622,504.0
58,3,19495.798319327732,503.0
59,3,19831.932773109245,513.0
60,3,20168.067226890755,511.0
61,3,20504.201680672268,517.0
62,3,20840.33613445378,502.0
63,3,21176.470588235294,495.0
64,3,21512.605042016807,516.0
65,3,21848.73949579832,494.0
66,3,22184.873949579833,504.0
67,3,22521.008403361346,507.0
68,3,22857.14285714286,501.0
69,3,23193.277310924368,480.0
70,3,23529.41176470588,509.0
71,3,23865.546218487394,506.0
72,3,24201.680672268907,501.0
73,3,24537.81512605042,495.0
74,3,24873.949579831933,509.0
75,3,25210.084033613446,503.0
76,3,25546.21848739496,509.0
77,3,25882.352941176472,501.0
78,3,26218.48739495798,504.0
79,3,26554.621848739494,507.0
80,3,26890.756302521007,499.0
81,3,27226.89075630252,508.0
82,3,27563.025210084033,505.0
83,3,27899.159663865546,498.0
84,3,28235.29411764706,509.0
85,3,28571.428571428572,504.0
86,3,28907.563025210085,514.0
87,3,29243.697478991595,510.0
88,3,29579.831932773108,508.0
89,3,29915.96638655462,512.0
90,3,30252.100840336134,519.0
91,3,30588.235294117647,508.0
92,3,30924.36974789916,505.0
93,3,31260.504201680673,512.0
94,3,31596.638655462186,502.0
95,3,31932.7731092437,520.0
96,3,32268.907563025212,513.0
97,3,32605.04201680672,514.0
98,3,32941.17647058824,493.0
99,3,33277.31092436975,495.0
100,3,33613.445378151264,498.0
101,3,33949.57983193277,493.0
102,3,34285.71428571428,510.0
103,3,34621.8487394958,490.0
104,3,34957.98319327731,497.0
105,3,35294.117647058825,514.0
106,3,35630.252100840335,503.0
107,3,35966.38655462185,503.0
108,3,36302.52100840336,510.0
109,3,36638.65546218488,515.0
110,3,36974.78991596639,506.0
111,3,37310.924369747896,503.0
112,3,37647.05882352941,509.0
113,3,37983.19327731092,507.0
114,3,38319.32773109244,505.0
115,3,38655.46218487395,519.0
116,3,38991.596638655465,510.0
117,3,39327.731092436974,506.0
118,3,39663.86554621849,514.0
119,3,40000.0,506.0
